Id,ABOTT_INDIA,ACC,AJANTA_PHARMA,AMBUJA_CEMENT,APPOLO_HOSPITAL_ENTERPRISE,ASHOK_LEYLAND,ASIAN_PAINTS,AUROBINDO_PHARMA,AVENUES_APARTMENT,AXIS_BANK,NCL,NESTLE_INDIA,NIIT,NTPC,RBL_BANK,RCOM,ROYAL_ORCHID_HOTELS,BAJAJ_AUTO,BOSCH,AIRTEL
104,5661.9,1593.9,1337.7,240.95,1160.9,139.4,1102.75,606.2,1326.05,516.8,217.6,7687.55,90.15,163.05,469.8,26.35,182.45,2899.9,18120.25,413.85
105,5741.2,1604.1,1368.9,246.15,1168.35,140.05,1104.3,600.8,1317.85,523.65,223.25,7714.35,92.7,163.25,477.55,27.75,186.75,2942.1,18363.15,421.2
106,5749.95,1633.65,1400.2,252.95,1182.1,140.75,1119.6,624.1,1313.1,526.1,233.25,7850.55,91.7,163,484.9,27.85,192.15,3025,18675.7,426.75
107,5733,1625.8,1402.25,252.6,1202.85,141.3,1118.85,613.45,1347.45,529.6,228.3,7764.35,93.35,163.25,489.2,28.3,196.25,3018.8,18689.3,427.35
108,5848.1,1632.65,1403,252.05,1195.9,137.7,1110.2,614.35,1353.95,537.5,230.6,7761.2,94.45,165.5,490.85,28.05,198,3033.85,19049.8,431.05
109,5820.9,1663.3,1428.3,262.3,1237.05,136.85,1106.25,615.15,1289.75,552.3,228.85,7615.5,93.05,163,494.65,29.75,200.35,3007.2,19061.05,422.3
110,5788.4,1646.8,1370.25,259.7,1232.1,134.25,1101.9,601.85,1300.2,536.55,230.7,7582.5,94.55,162.8,487.45,27.55,199.55,2988,18917.95,425.45
111,5746.8,1631.4,1351.45,256.85,1244.6,132.3,1116.35,587.15,1238.95,530,230.2,7540.45,95.4,160.5,469.55,27.4,191.9,2971,18914.1,416.05
112,5637.6,1646.1,1355.6,261.65,1211.5,132.35,1125.55,570.8,1235.35,535.2,232.15,7593.45,92.8,162.25,470.3,28,187.9,3008.25,19196.7,419.35
113,5627.15,1641,1330.75,263.1,1201.3,133.35,1126.7,574.1,1185.65,531.7,233.9,7554.85,93.75,163.75,470.9,27.85,186.8,3049.65,19395.65,417.65
114,5667.4,1633,1348.3,257.75,1187.05,132.25,1122.45,583.85,1165.5,539.45,236,7512.4,91.7,163,473.85,28.4,191.7,3039.85,19428.55,414.15
115,5538.65,1653.45,1394.8,257.25,1138.2,134,1143.7,589.1,1172.35,537.75,241.55,7590.1,93.2,162.5,476.2,28.4,195.3,3102.95,19535.55,419.45
116,5633.45,1621.1,1405.85,253.4,1207.65,137.3,1136.7,593.45,1182.6,543.75,243.45,7585.35,96,162.9,479.6,27.95,197.15,3140.6,19475.35,428.3
117,5732.7,1625.75,1426.8,254,1180.65,137.55,1140.65,601.85,1198,543.95,243.9,7260.1,98.05,162.8,483.25,29.55,203.45,3110.85,19503.1,434.2
118,5927.55,1651.1,1425,257.1,1154.85,133.35,1145.45,607.85,1186.35,562.8,244.3,7136.5,99.4,164.75,484.7,27.1,203.75,3143.35,19544.25,424.05
119,5589.3,1659.4,1415.35,258.5,1121.85,134.3,1131.55,590.15,1175.05,557.5,253.45,6959.05,96.85,163.2,481.4,27,198.2,3103.5,19529.2,421.75
120,5462.65,1692.3,1400.3,261.65,1133.2,134.15,1124,601.9,1166.4,568.5,256.95,6991.2,98.45,163.65,484.15,26.55,199.95,3152.4,19596.15,429.5
121,5381.55,1590.3,1330.35,245.4,1135.4,132.9,1121,616.75,1122.8,558.7,244.05,7013.85,96,164.8,479,25.15,200.3,3137.3,19241.1,429.85
122,5252.75,1618.1,1292.5,255,1140.1,126.85,1110.85,596.25,1107.2,564.1,230.9,7012.2,94.45,165.3,473.75,24.6,191.1,3138.2,19516.15,438.75
123,5366.4,1643.85,1310.55,259.2,1131.8,129.45,1134.35,613.65,1117.25,566.1,247.85,7132.8,94.4,166.3,485.1,26.1,203.25,3177.8,19911.45,439.5
124,5531.5,1676.25,1390.8,259.3,1151,122.25,1138.3,605.1,1135.7,564.95,255.3,7140.8,96.75,165.1,483.6,26.1,188.4,3242.6,19344.3,421.8
125,5550.4,1733.05,1408.5,264.85,1215.75,123.45,1152.45,612.8,1174.35,590.2,270.95,7305.9,102.25,169,504.55,28.65,210.55,3409.5,19481.85,438.05
126,5612.8,1716.4,1449.15,261.05,1161.6,125.95,1131.05,629.5,1179.65,593.4,274.85,7464.8,102.25,170.25,504.8,29.5,215.45,3338.8,19343.8,439.65
127,5514.55,1729.5,1449.45,260.95,1136.6,125.65,1128.9,631.15,1185.6,593.4,267.5,7436.75,105.55,170.05,506.9,30.1,214.9,3351.4,19496.25,440.1
128,5520,1737.2,1444.2,263.6,1140.05,125.4,1154.5,635.2,1181.9,605.4,278.3,7534.75,110,171,505.2,27.25,221.6,3362.1,19804.15,440.55
129,5507.25,1727.45,1494.4,263.15,1133.85,122.4,1149.75,641.35,1156.95,613.75,283.45,7513.1,108.35,171.7,510.85,28.35,212.35,3303.2,19608.95,452.6
130,5531.15,1744.85,1571.05,260.3,1111.6,123.3,1150.95,656.3,1143.35,607.9,285.85,7575.45,108.7,173.75,513.75,28.8,201,3335.6,19744.15,458.95
131,5509.25,1793.95,1565.4,263,1147.35,124.1,1167.7,654.7,1166.65,618.9,293.45,7591.6,108.15,172.55,536.5,29.2,198,3294.3,19794.1,490.9
132,5504.25,1829.1,1586.35,268.8,1164.9,121.05,1176.7,641,1176.55,611.05,289.8,7658.65,109.45,172.35,528.95,28.7,198.9,3272.1,19944.2,489.7
133,5466.3,1822.7,1557.25,268.5,1138.05,121.1,1193.4,643.35,1142.85,590.25,282.2,7692.2,106.35,172.35,524.65,29.45,196.15,3208.05,19905.1,497.75
134,5432.4,1837.55,1531.8,275.95,1116.05,120.75,1189.75,645.85,1137.3,583.7,279.25,7770.7,105.75,172.5,525.35,29.45,190.75,3195.4,19859.75,494.5
135,5462.15,1840.25,1530.7,276.45,1125.9,124.45,1194.15,658.7,1168.65,584.75,272.55,7758.65,109.75,173.3,525.05,32.4,187.45,3184.9,19879.45,500.35
136,5415.9,1848.95,1522.85,276.6,1150.25,122.3,1190.35,641.95,1181.2,558.75,270,7757.75,111.75,172.6,522.55,31.25,187.7,3160,19801.3,496.9
137,5371.3,1826.75,1507.35,277.05,1179.85,126.15,1201.7,657.95,1231.45,560.7,271.75,7747.2,113.5,172.3,530.3,31.5,186.9,3163.3,19903.1,504.1
138,5451.4,1805.15,1501.45,269.65,1161.3,128.65,1189.65,667.5,1232.75,555.75,269.55,7788.15,113.6,172,531.6,31.35,188.5,3175.1,19739.8,509.4
139,5397.55,1801.3,1510.9,272.25,1173.3,127.05,1188.85,674.95,1242.85,558.25,274.15,7855.95,114.8,173.1,534.5,32.75,193.1,3202,19932.65,514.75
140,5297.7,1811.9,1492.05,276.05,1170.55,127.95,1177.4,672.6,1248.25,562.55,275.7,7825.3,114,173.95,529.75,33.15,192.75,3205.35,19818.85,506.35
141,5300.05,1813,1507,276.85,1171.2,130.5,1191.9,673.2,1231.25,565.15,270.45,7796.15,109.7,176.15,538.75,32.75,196,3240.95,19842.95,510
142,5343.85,1818.05,1515.55,274.25,1181.85,128.45,1183.1,677.95,1228.2,565.35,269.8,7952.35,114.05,177.45,544.95,33.9,207.4,3275.35,19957.95,516.1
143,5378.95,1805.7,1522.95,274,1193.85,127.4,1183.75,671.1,1242.75,563.1,278,7840.35,111.15,177.35,539.65,34.05,172.85,3277.55,19679.7,540
